COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01049,35961,0.055886400,0.020068200,0.033383900,0.053178600
01049,35967,0.215973701,0.433169254,0.438543247,0.233797728
01051,36067,0.000000000,0.000617093,0.000000000,0.000042944
01051,36022,0.095088088,0.024992300,0.027310900,0.089517307
01051,36026,0.006673670,0.001542730,0.002100840,0.006269860
01051,35136,0.000046669,0.000000000,0.000000000,0.000042944
01051,36078,0.107012017,0.126812712,0.086134454,0.108176587
01051,36020,0.012297300,0.005553840,0.012605000,0.011831100
01051,36051,0.004573560,0.001234190,0.000000000,0.004294430
01051,36054,0.192882977,0.227398951,0.084033613,0.194172464
01051,35010,0.010687200,0.002159830,0.033613400,0.010328100
01051,36025,0.044288900,0.037642700,0.037815100,0.043760200
01051,36080,0.034838400,0.009873500,0.130252101,0.034076300
01051,36066,0.023987900,0.065720457,0.212184874,0.028815600
01051,36024,0.089067787,0.060783700,0.044117600,0.086640041
01051,36092,0.257776222,0.370873187,0.304621849,0.266125569
01051,36093,0.120779372,0.064794816,0.025210100,0.115906553
01053,36483,0.007632450,0.005888650,0.002298850,0.007384340
01053,36562,0.004807450,0.000535332,0.011494300,0.004581850
01053,36432,0.013431100,0.006959310,0.000000000,0.012633500
01053,36426,0.441393666,0.451284797,0.441379310,0.442215302
01053,36420,0.003469300,0.002141330,0.000000000,0.003291810
01053,36475,0.000099123,0.000000000,0.000000000,0.000088968
01053,36503,0.000000000,0.002676660,0.000000000,0.000222420
01053,36502,0.426525252,0.472162741,0.466666667,0.431094306
01053,36543,0.000000000,0.000535332,0.000000000,0.000044484
01053,36441,0.102641622,0.057815800,0.078160920,0.098443060
01055,35972,0.008542900,0.002281800,0.000000000,0.007873300
01055,35961,0.004628880,0.000760601,0.000000000,0.004225850
01055,35905,0.053187500,0.031945200,0.047851600,0.051304700
01055,35121,0.000321699,0.000000000,0.000000000,0.000289222
01055,35957,0.000428931,0.000000000,0.000000000,0.000385629
01055,35952,0.042410600,0.009507500,0.008789100,0.039077100
01055,35990,0.000017872,0.000190150,0.000000000,0.000032136
01055,35901,0.188050685,0.309564556,0.408203125,0.201940999
01055,35954,0.120243776,0.111808329,0.098632813,0.119175397
01055,35907,0.072632388,0.025099800,0.045898400,0.068175975
01055,35956,0.079995711,0.034227000,0.016601600,0.075085160
01055,35902,0.024109500,0.084997148,0.001953130,0.028890000
01055,36272,0.011313100,0.003612850,0.000000000,0.010476300
01055,35906,0.095044055,0.131393801,0.135742188,0.098785269
01055,35903,0.168891748,0.148697471,0.119140625,0.166366733
01055,35904,0.130180687,0.105913672,0.117187500,0.127916319
01057,35542,0.077778922,0.018567600,0.000000000,0.072281229
01057,35594,0.124858350,0.035809000,0.011236000,0.116646301
01057,35545,0.000000000,0.001326260,0.000000000,0.000093994
01057,35549,0.019985600,0.000000000,0.000000000,0.018234800
01057,35546,0.164314412,0.103448276,0.056179800,0.158191559
01057,35579,0.000103018,0.000000000,0.000000000,0.000093994
01057,35563,0.006181110,0.000000000,0.000000000,0.005639630
01057,35555,0.557020707,0.827586207,0.921348315,0.582291569
01057,35574,0.013495400,0.002652520,0.000000000,0.012501200
01057,35554,0.036262500,0.009283800,0.011236000,0.033931800
01057,35559,0.000000000,0.001326260,0.000000000,0.000093994
01059,35616,0.000063484,0.000000000,0.000000000,0.000058167
01059,35653,0.315007618,0.576135352,0.403785489,0.333701722
01059,35674,0.001079230,0.000000000,0.000000000,0.000988830
01059,35654,0.231526155,0.130899377,0.214511041,0.224639367
01059,35581,0.167089893,0.093499555,0.223974763,0.163331782
01059,35564,0.005205690,0.000890472,0.000000000,0.004827830
01059,35565,0.011617600,0.002671420,0.015772900,0.011109800
01059,35651,0.000190452,0.000000000,0.000000000,0.000174500
01059,35585,0.050406300,0.034728400,0.003154570,0.048510900
01059,35582,0.134205180,0.121994657,0.094637224,0.132677990
01059,35593,0.054977100,0.019590400,0.034700300,0.052291800
01059,35571,0.028631300,0.019590400,0.009463700,0.027687300
01061,36301,0.008030000,0.000921659,0.000000000,0.007505030
01061,36352,0.003685910,0.000921659,0.000000000,0.003477940
01061,36467,0.000065820,0.000000000,0.000000000,0.000061017
01061,36305,0.027775900,0.008294900,0.018018000,0.026420200
01061,36314,0.025538100,0.012903200,0.054054100,0.024894700
01061,36375,0.228592115,0.128110599,0.207207207,0.221795106
01061,36477,0.188639505,0.282949309,0.099099099,0.194276649
01061,36453,0.033963000,0.011981600,0.000000000,0.032277700
01061,36340,0.199302310,0.320737327,0.405405405,0.208737568
01061,36442,0.000460738,0.000000000,0.000000000,0.000427116
01061,36322,0.003159350,0.000921659,0.000000000,0.002989810
01061,36318,0.029026500,0.004608290,0.000000000,0.027213400
01061,36316,0.037846400,0.011981600,0.000000000,0.035877700
01061,36344,0.213914303,0.213824885,0.216216216,0.213923973
01061,36313,0.000000000,0.000921659,0.000000000,0.000061017
01061,36349,0.000000000,0.000921659,0.000000000,0.000061017
01063,35463,0.005472230,0.000000000,0.000000000,0.005134060
01063,35469,0.029185200,0.030201300,0.000000000,0.029093000
01063,35462,0.566477503,0.785234899,0.925925926,0.580718768
01063,35443,0.233076611,0.090604027,0.074074074,0.224187108
01063,36740,0.143899473,0.077181208,0.000000000,0.139380110
01063,35448,0.000000000,0.003355700,0.000000000,0.000190150
01063,35464,0.006080260,0.003355700,0.000000000,0.005894660
01063,35491,0.000000000,0.003355700,0.000000000,0.000190150
01063,35480,0.015808700,0.006711410,0.000000000,0.015212000
01065,35474,0.252753365,0.160824742,0.044665000,0.239748912
01065,36786,0.001779950,0.000000000,0.000000000,0.001619930
01065,36765,0.061185900,0.022680400,0.009925600,0.057203600
01065,36744,0.445433307,0.713402062,0.928039702,0.478282879
01065,36738,0.014128400,0.004123710,0.009925600,0.013465600
01065,36756,0.001001220,0.000000000,0.000000000,0.000911208
01065,35441,0.087328958,0.041237100,0.004962780,0.081704971
01065,36742,0.030259200,0.028866000,0.002481390,0.029057400
01065,36776,0.106129714,0.028866000,0.000000000,0.098005467
01067,36016,0.000092234,0.000000000,0.000000000,0.000084431
01067,36303,0.001752440,0.000000000,0.000000000,0.001604190
01067,36319,0.051466500,0.017156900,0.000000000,0.048294500
01067,36310,0.444844125,0.528186275,0.806451613,0.456264775
01067,36353,0.078952223,0.033088200,0.010752700,0.074721378
01067,36350,0.008854500,0.003676470,0.000000000,0.008358700
01067,36317,0.023427400,0.009803900,0.010752700,0.022289800
01067,36373,0.031267300,0.014705900,0.005376340,0.029719700
01067,36345,0.359343295,0.393382353,0.166666667,0.358662614
01069,36370,0.008828000,0.000573559,0.000000000,0.007665540
01069,36350,0.006336210,0.000716949,0.000000000,0.005534520
01069,36320,0.035205100,0.011327800,0.015957400,0.032041900
01069,36376,0.021981000,0.003441350,0.007253380,0.019531800
01069,36302,0.030969100,0.107685690,0.000483559,0.038205000
01069,36312,0.056029200,0.012618300,0.058510600,0.051466400
01069,36321,0.015199800,0.004588470,0.010154700,0.013905300
01069,36319,0.013615700,0.004875250,0.009187600,0.012540800
01069,36305,0.137385423,0.111127043,0.134912959,0.134499517
01069,36301,0.341603631,0.323917408,0.380077369,0.340932436
